OBJECTID,GlobalID,Name,Latitude,Longitude,Activity,Description,Website,Notes,Category,County,Record Type,TrailID,Registered,Trail Activity,Format,Grade,Difficulty,Trail Type,Length in Km,Time To Complete,Location Network,DogsAllowedOriginal,Dogs Allowed,Ascent Metres,WalksScheme,ManagementOrganisation,ExternalLinks,NearestTownStart,NearestTownFinish,StartPoint,FinishPoint,WaymarkingDescription,Facilities,GridRefStart,GridRefFinish,MapGuides,OSiMaps,PublicTransport,Comment,DataOwner,sourceglobalid,TrailHeadType,x,y
63263,62ee6dc1-0196-4998-9193-7fc6f7728ffb,Mangan's Loop,52.8139459,-6.4557559,Walking,"Starting at the top of Mangan's Lane and following green arrows, this walk climbs fairly steeply over Garryhoe Hill, crosses open ground and descends to Mangan's Lane. Good views of the surrounding countryside and Mountains and of Tinahely, especially from the higher slopes.",https://www.sportireland.ie/outdoors/walking/trails/mangans-loop,,leisure & recreation,Wicklow,Trail,397,Yes,Walking,Loop,Strenuous,Challenging,Walking Trail,5,1 hour 30 minutes,Tinahely Loops,No,No,200,No,Tinahely Community Projects Ltd,,Tinahealy,,Village Square Carpark,Village Square Carpark,Green arrow on white background,Car park,,,,Discovery Series Sheet 62,,"Trekking shoes, raingear, fluid and mobile phone",Sport Ireland,a8b8d1ce-b6c1-4fa2-a52c-75f036be743f,Start,-6.4557559,52.8139459
63264,1785b454-fee7-4b63-ba0d-b9d1d0d01afc,Ballycumber loop,52.8139459,-6.4557559,Walking,"Starting at the top of Mangan's Lane and following blue arrows, this walk works its way around the lower slopes of Garryhoe as far as a ford over a river and road. It then climbs steeply to pass between Ballycumber Hill and Garryhoe to return to Mangan's Lane. Good views of the surrounding countryside and Mountains and of Tinahely, especially from the higher slopes.",https://www.sportireland.ie/outdoors/walking/trails/ballycumber-loop,,leisure & recreation,Wicklow,Trail,398,Yes,Walking,Loop,Strenuous,Challenging,Walking Trail,10,3 hours,Tinahely Loops,No,No,400,No,Tinahely Community Projects Ltd,,Tinahealy,,Village Square Carpark,Village Square Carpark,Blue arrow on white background,Car park,,,,Discovery Series Sheet 62,,"Trekking shoes, raingear, fluid and mobile phone",Sport Ireland,42567652-f8d0-4b24-92bb-aeed030f4fa1,Start,-6.4557559,52.8139459
63265,e8b7b347-8f3e-43dc-ac46-7bb00317f65f,Kyle Loop,52.8139459,-6.4557559,Walking,"Starting at the top of Mangan's Lane and following purple arrows, this walk works its way around the lower slopes of Garryhoe and Ballycumber Hill as far as Kyle and then climbs over the Hill to return to Mangan's Lane. Good views of the surrounding countryside and Mountains and of Tinahely, especially from the top of the Hill.",https://www.sportireland.ie/outdoors/walking/trails/kyle-loop,,leisure & recreation,Wicklow,Trail,399,Yes,Walking,Loop,Strenuous,Challenging,Walking Trail,13.2,5 hours,Tinahely Loops,No,No,500,No,Tinahely Community Projects Ltd,,Tinahealy,,Village Square Carpark,Village Square Carpark,Purple arrow on white background,Car park,,,,Discovery Series Sheet 62,,"Trail surface issues Trekking shoes, raingear, fluid and mobile phone",Sport Ireland,1213593a-cba6-4941-8250-b5ac9461a255,Start,-6.4557559,52.8139459
63266,1c4367b9-f5a9-4b07-96c4-3983fbe45e75,Castlefreke - River Trail,51.5741689,-8.9604756,Walking,This looped nature walk follows a path parallel to the river in what is essentially a small wet woodland which is a haven for biodiversity. During the summer months there are beautiful displays of wild flowers.,https://www.sportireland.ie/outdoors/walking/trails/castlefreke-river-trail,,leisure & recreation,Cork,Trail,401,Yes,Walking,Loop,Easy,Easy,Walking Trail,0.45,15 mins,Castlefreke,Under effective control,Yes,5,No,Coillte South,http://www.coillte.ie/media/2017/01/Cork-Castlefreke.pdf|Link to downloadable map^ http://www.coillte.ie/site/castlefreke/ |Link to website with further information,Rosscarbery,Rosscarbery,"Castlefreke Woods car park, adjacent to Castlefreke castle","Castlefreke Woods car park, adjacent to Castlefreke castle",Green arrow,,,,,Discovery Series Sheet 89,,,Sport Ireland,6a859a1d-d964-4ed3-9d54-9cab6f5a36a2,Start,-8.9604756,51.5741689
63267,b61bbd17-a73a-43d0-91a8-0b3bd457b618,Farran Forest Park - Enclosure Trail,51.8911397,-8.7566245,Walking,"This short but educational trail takes you on forest road and path around a wildlife enclosure where deer can be observed up close, the old hunting lodge has been converted into a woodland ecology display centre and there is a man-made pond.",https://www.sportireland.ie/outdoors/walking/trails/farran-forest-park-enclosure-trail,,leisure & recreation,Cork,Trail,403,Yes,Walking,Loop,Easy,Easy,Walking Trail,1.2,25 mins,Farran Forest Park,Under effective control,Yes,20,No,Coillte South,https://www.coillte.ie/media/2019/10/CK_Farran_2019.pdf |Link to downloadable map^ https://www.coillte.ie/site/farran-forest-park/ |Link to website with further information,Macroom,Macroom,Farran Forest car park,Farran Forest car park,,"Car park, toilets, playground",,,,,,,Sport Ireland,95ee8411-421a-40dd-8174-dd04fc170d24,Start,-8.7566245,51.8911397
63268,f9b79064-3a1b-44c4-8715-39867392cbdc,Farran Forest Park - Woodland Loop,51.8903728,-8.7579728,Walking,"This wooded loop follows forest road and is located on the south shore of Inniscarra Lake/Reservoir with a section along the verges of the lake, passing by the National Rowing Centre. A spur leads down to Mallard Cove for views out over the lake, Lee Valley and the adjoining countryside.",https://www.sportireland.ie/outdoors/walking/trails/farran-forest-park-woodland-loop,,leisure & recreation,Cork,Trail,404,Yes,Walking,Loop,Moderate,Moderate,Walking Trail,3,60 mins,Farran Forest Park,Under effective control,Yes,40,No,Coillte South,https://www.coillte.ie/media/2019/10/CK_Farran_2019.pdf |Link to downloadable map^ https://www.coillte.ie/site/farran-forest-park/ |Link to website with further information,Macroom,Macroom,Farran Forest car park,Farran Forest car park,,"Car park, toilets, playground",,,,,,,Sport Ireland,fa77a89f-13e2-466e-acb6-9b2904d17a1a,Start,-8.7579728,51.8903728
63269,1d2e97f2-8a6d-4819-8e55-5baf8872e8a3,Union Wood - Union Rock Trail,54.21476,-8.47072,Walking,"This trail on forest road takes you through an area managed for biodiversity contiguous to the SAC along the edge of Ballygawley Lake. It has a wide range of conifer and broadleaf forest while the lake features a crannog. There are lovely views of Knocknarea, the Ox Mountain range and the landscape of Sligo and Leitrim.",https://www.sportireland.ie/outdoors/walking/trails/union-wood-union-rock-trail,,leisure & recreation,Sligo,Trail,406,Yes,Walking,Loop,Easy,Easy,Walking Trail,4,1.5 hours,Union Wood,Under effective control,Yes,20,No,Coillte West,https://www.coillte.ie/media/2017/01/Sligo-Union-Wood.pdf |Link to downloadable map^ https://www.coillte.ie/site/union-wood/ |Link to website with further information,Sligo Town,Sligo Town,Union Woods car park,Union Woods car park,,Car park,,,,Discovery Series Sheet 25,,"For Further information on the Union Wood - Union Rock Trail Access Route, visit, www.SligoWalks.ie",Sport Ireland,5247eefb-a28b-46ed-b612-ac8cd76181ad,Start,-8.47072,54.21476
63270,ff273761-301c-4f96-9481-3f1b0a5dadc3,Union Wood - Oakwood Trail,54.21476,-8.47072,Walking,"This trail takes you along the edge of an old oak woodland currently managed by NPWS and formerly part of the Cooper Estate. There are views of the surrounding Ox Mountain range, Knocknarea, Ballygawley Lake and the landscape of Sligo and Leitrim.",https://www.sportireland.ie/outdoors/walking/trails/union-wood-oakwood-trail,,leisure & recreation,Sligo,Trail,407,Yes,Walking,Loop,Easy,Easy,Walking Trail,5.5,2 hours,Union Wood,Under effective control,Yes,20,No,Coillte West,https://www.coillte.ie/media/2017/01/Sligo-Union-Wood.pdf |Link to downloadable map^ https://www.coillte.ie/site/union-wood/ |Link to website with further information,Sligo Town,Sligo Town,Union Woods car park,Union Woods car park,,Car park,,,,Discovery Series Sheet 25,,"For Further information on the Union Wood - Oakwood Trail, visit, www.SligoWalks.ie",Sport Ireland,de7a12d8-4948-421b-b889-52d79192f817,Start,-8.47072,54.21476
63271,826e45c5-533d-49f5-ad38-5554f94c6b61,Kilbrannish Loop,52.6563175,-6.7544674,Walking,"This loop follows forestry road as it ascends to the top of Kilbrannish Hill and on to Croaghan with its standing stone. The route offers wonderful views of the surrounding countryside, with particularly fine views from the summit of Croaghaun over the plains of Carlow with Myshall and Tullow spread out below.",https://www.sportireland.ie/outdoors/walking/trails/kilbrannish-loop,,leisure & recreation,Carlow,Trail,410,Yes,Walking,Loop,Strenuous,Challenging,Walking Trail,5,1 hour 40 minutes,Kilbrannish Loops,Under effective control,Yes,150,No,Bunclody Loafers,https://www.coillte.ie/media/2017/01/Carlow-Kilbrannish.pdf|Link to downloadable map^ https://www.coillte.ie/site/kilbrannish/|Link to website with further information,Bunclody,Bunclody,Kilbrannish Woods car park,Kilbrannish Woods car park,Purple arrow on yellow background,"Car park, picnic facilities",S 842 568,S 842 568,,Discovery Series Sheet 68,,,Sport Ireland,4fd7dbe5-d8c2-484a-8e5e-1f646247420b,Start,-6.7544674,52.6563175
63272,84cf26b3-824d-4a65-b5fc-c0fba6a1850a,Windfarm Loop,52.6563175,-6.7544674,Walking,This short loop has uphill sections and a good surface suitable for families with young children. Large wind turbines fill the skyline on the summit of nearby Greenoge Hill. The trail follows forestry road over the wooded shoulder of Kilbrannish Hill.,https://www.sportireland.ie/outdoors/walking/trails/windfarm-loop,,leisure & recreation,Carlow,Trail,411,Yes,Walking,Loop,Moderate,Moderate,Walking Trail,3,1 hour,Kilbrannish Loops,Under effective control,Yes,70,No,Bunclody Loafers,https://www.coillte.ie/media/2017/01/Carlow-Kilbrannish.pdf|Link to downloadable map^ https://www.coillte.ie/site/kilbrannish/|Link to website with further information,Bunclody,Bunclody,Kilbrannish Woods car park,Kilbrannish Woods car park,Green arrow on yellow background,"Car park, picnic facilities",S 842 568,S 842 568,,Discovery Series Sheet 68,,,Sport Ireland,b488bf62-cd09-4a49-8224-097be576b486,Start,-6.7544674,52.6563175
63273,55e8364e-2266-4b14-ac91-5de814f82d46,Ballyhoura - Lyre na Freaghaun,52.31893,-8.50666,Walking,"This walk brings you through beautiful stands of mature Scot's Pine and Beech as it follows forest tracks and trails over the Lyre na Freaghaun stream, alongside Sitka Spruce plantations and adjacent to Gleann Easa Mór. Some sections are shared with mountain bikers.",https://www.sportireland.ie/outdoors/walking/trails/ballyhoura-lyre-na-freaghaun,,leisure & recreation,Limerick,Trail,412,Yes,Walking,Loop,Moderate,Moderate,Walking Trail,5,1 hour 30 minutes,Ballyhoura Greenwood Forest,On a lead,Yes,70,No,Ballyhoura Heritage & Environment CLG,https://play.google.com/store/apps/details?id=com.blackbearsoftware.trailguide&hl=en_CA|Downloadable Map Google^ https://apps.apple.com/us/app/ballyhoura-trails-guide/id1469702426|Downloadable Map Apple,Ardpatrick,Ardpatrick,Forest entrance car park at Greenwood,Forest entrance car park at Greenwood,,"Car park, toilets, showers",R 65504 18674,R 65504 18674,,Discovery Series Sheet 73,,,Sport Ireland,23c56130-1843-47fc-bc4a-1a8c39387665,Start,-8.50666,52.31893
63274,6f8407d7-8d6e-40d6-9822-3ff2577fe0ca,Ben Bulben loop,54.361492,-8.501434,Walking,"This loop takes you on forest road along the northern face of the iconic Benbulbin table top mountain with panoramic views of Sligo and Donegal Bays, Inishmurray Island and the Ox and Knocknarea Mountains and as far as Sliabh League on a clear day.",https://www.sportireland.ie/outdoors/walking/trails/ben-bulben-loop,,leisure & recreation,Sligo,Trail,415,Yes,Walking,Loop,Easy,Easy,Walking Trail,5.5,1.25 hours,Gortarowey,Under effective control,Yes,45,No,Coillte West,https://www.coillte.ie/media/2017/01/Sligo-Gortarowey.pdf|Link to downloadable map^ https://www.coillte.ie/site/gortarowey/|Link to website with further information,Sligo Town,Sligo Town,Gortarowey Forest entrance car park,Gortarowey Forest entrance car park,,Car park,,,,Discovery Series Sheet 16,,"For Further information on the Ben Bulben loop, visit www.SligoWalks.ie",Sport Ireland,600f2ff1-b417-4f95-83e3-6471c5c8fead,Start,-8.501434,54.361492
63275,fdbe7dd2-d1e6-4d93-b0ee-c65b52e1fbb5,Gortarowey - Multi Access,54.361886,-8.501827,Walking,"This multi access trail takes you on a path you through deciduous forest (oak, ash, beech, alder, mountain ash and sycamore) on the side of Benbulbin with spectacular panoramic views of Sligo Bay, the Ox Mountains and Knocknarea.",https://www.sportireland.ie/outdoors/walking/trails/gortarowey-multi-access,,leisure & recreation,Sligo,Trail,416,Yes,Walking,Loop,Multi-Access,Very Easy,Walking Trail,0.25,10 mins,Gortarowey,Under effective control,Yes,30,No,Coillte West,https://www.coillte.ie/media/2017/01/Sligo-Gortarowey.pdf |Link to downloadable map^ https://www.coillte.ie/site/gortarowey/ |Link to website with further information,Sligo Town,Sligo Town,Gortarowey Forest entrance car park,Gortarowey Forest entrance car park,,Car park,,,,Discovery Series Sheet 16,,"For Further information on the Gortarowey - Multi Access Trail, visit, www.SligoWalks.ie",Sport Ireland,7a689d5b-415e-4ee1-b4ec-4d06c96d3c95,Start,-8.501827,54.361886
63276,1d8d32d0-1919-43c0-82ef-c397c4cc5e2f,Kilrush - Multi Access,52.635302,-9.471014,Walking,"The trail takes you on forest road through a diverse forest area of broadleaf, conifer and mixed woodland of variable age and classes within what was formerly the walled demesne of the Vandeleur family.",https://www.sportireland.ie/outdoors/walking/trails/kilrush-multi-access,Time given to walk trail is there and back - distance given for trail is also there and back,leisure & recreation,Clare,Trail,417,Yes,Walking,Linear,Multi-Access,Very Easy,Walking Trail,2.4,1 hour,Kilrush Forest,Under effective control,Yes,,No,Coillte West,https://www.coillte.ie/media/2017/01/Clare-Kilrush.pdf|Link to downloadable map^ https://www.coillte.ie/site/kilrush/|Link to website with further information,Kilrush,Kilrush,Car park within Kilrush Forest,Car park within Kilrush Forest,Red,"Car park, cafe, gift shop, walled gardens, Vandeleur Centre",R 004 548,R 004 548,,Discovery Series Sheet 64,Bus: TFI Local Link Route 337 to Kilrush and the Vandeleur Walled Gardens/Kilrush Forest https://www.locallinklc.ie/2021/02/25/r337-ennis-to-kilrush-monday-to-sunday/,,Sport Ireland,464eda84-6e49-4670-a6b1-7bd55d06906d,Start,-9.471014,52.635302
63277,1d2796e9-50ba-415d-9bae-ea4f4b88899f,Kilrush - Multi Access,52.635302,-9.471014,Walking,"The trail takes you on forest road through a diverse forest area of broadleaf, conifer and mixed woodland of variable age and classes within what was formerly the walled demesne of the Vandeleur family.",https://www.sportireland.ie/outdoors/walking/trails/kilrush-multi-access,Time given to walk trail is there and back - distance given for trail is also there and back,leisure & recreation,Clare,Trail,417,Yes,Walking,Linear,Multi-Access,Very Easy,Walking Trail,2.4,1 hour,Kilrush Forest,Under effective control,Yes,,No,Coillte West,https://www.coillte.ie/media/2017/01/Clare-Kilrush.pdf|Link to downloadable map^ https://www.coillte.ie/site/kilrush/|Link to website with further information,Kilrush,Kilrush,Car park within Kilrush Forest,Car park within Kilrush Forest,Red,"Car park, cafe, gift shop, walled gardens, Vandeleur Centre",R 004 548,R 004 548,,Discovery Series Sheet 64,Bus: TFI Local Link Route 337 to Kilrush and the Vandeleur Walled Gardens/Kilrush Forest https://www.locallinklc.ie/2021/02/25/r337-ennis-to-kilrush-monday-to-sunday/,,Sport Ireland,97efa4a8-ec63-4708-b2e7-b5b929bbde20,Finish,-9.471014,52.635302
63278,4b438747-87c4-4fd4-8b8b-2b2980987f6a,Kilrush - Riverside Walk,52.635302,-9.471014,Walking,"The trail takes you on forest road through a diverse forest area of broadleaf, conifer and mixed woodland of variable age and classes within what was formerly the walled demense of the Vandeleur family.",https://www.sportireland.ie/outdoors/walking/trails/kilrush-riverside-walk,Time given to walk trail is there and back - time given to walk trail is also there and back,leisure & recreation,Clare,Trail,418,Yes,Walking,Linear,Easy,Easy,Walking Trail,6,1 hour 30 minutes,Kilrush Forest,Under effective control,Yes,10,No,Coillte West,https://www.coillte.ie/media/2017/01/Clare-Kilrush.pdf|Link to downloadable map^ https://www.coillte.ie/site/kilrush/|Link to website with further information,Kilrush,Kilrush,Car park within Kilrush Forest,Car park within Kilrush Forest,Orange,"Car park, cafe, gift shop, walled gardens, Vandeleur Centre",R 004 548,R 004 548,,Discovery Series Sheet 64,Bus: TFI Local Link Route 337 to Kilrush and the Vandeleur Walled Gardens/Kilrush Forest https://www.locallinklc.ie/2021/02/25/r337-ennis-to-kilrush-monday-to-sunday/ ,,Sport Ireland,cd3e9fec-7a2c-41ed-a610-87ad339bd56f,Start,-9.471014,52.635302
63279,b23ea032-00ed-484c-b652-4b66462dbfe0,Kilrush - Riverside Walk,52.635302,-9.471014,Walking,"The trail takes you on forest road through a diverse forest area of broadleaf, conifer and mixed woodland of variable age and classes within what was formerly the walled demense of the Vandeleur family.",https://www.sportireland.ie/outdoors/walking/trails/kilrush-riverside-walk,Time given to walk trail is there and back - time given to walk trail is also there and back,leisure & recreation,Clare,Trail,418,Yes,Walking,Linear,Easy,Easy,Walking Trail,6,1 hour 30 minutes,Kilrush Forest,Under effective control,Yes,10,No,Coillte West,https://www.coillte.ie/media/2017/01/Clare-Kilrush.pdf|Link to downloadable map^ https://www.coillte.ie/site/kilrush/|Link to website with further information,Kilrush,Kilrush,Car park within Kilrush Forest,Car park within Kilrush Forest,Orange,"Car park, cafe, gift shop, walled gardens, Vandeleur Centre",R 004 548,R 004 548,,Discovery Series Sheet 64,Bus: TFI Local Link Route 337 to Kilrush and the Vandeleur Walled Gardens/Kilrush Forest https://www.locallinklc.ie/2021/02/25/r337-ennis-to-kilrush-monday-to-sunday/ ,,Sport Ireland,d6f487b0-1ad7-4b6a-93f4-0f9ca6eeb17a,Finish,-9.471014,52.635302
63280,2e570a8e-482d-460e-aae6-892d469558a7,Kilrush - Mixed Woodland,52.635302,-9.471014,Walking,"The trail takes you on forest road, path and minor road through a diverse forest area of broadleaf, conifer and mixed woodland of variable age and classes within what was formerly the walled demense of the Vandeleur family.",https://www.sportireland.ie/outdoors/walking/trails/kilrush-mixed-woodland,,leisure & recreation,Clare,Trail,419,Yes,Walking,Loop,Easy,Easy,Walking Trail,3,45 minutes,Kilrush Forest,Under effective control,Yes,10,No,Coillte West,https://www.coillte.ie/media/2017/01/Clare-Kilrush.pdf|Link to downloadable map^ https://www.coillte.ie/site/kilrush/|Link to website with further information,Kilrush,Kilrush,Car park within Kilrush Forest,Car park within Kilrush Forest,Blue,"Car park, cafe, gift shop, walled gardens, Vandeleur Centre",R 004 548,R 004 548,,Discovery Series Sheet 64,Bus: TFI Local Link Route 337 to Kilrush and the Vandeleur Walled Gardens/Kilrush Forest - https://www.locallinklc.ie/2021/02/25/r337-ennis-to-kilrush-monday-to-sunday/,,Sport Ireland,bc7ed9bb-2f01-440c-bc24-26ce18655925,Start,-9.471014,52.635302
63281,6ee1a86c-bea8-494b-8755-efc446abf6c0,Belleek - Multi Access,54.130122,-9.142848,Walking,This linear multi access trail on forest road and track in the diverse broadleaf/conifer and mixed woodlands of Belleek Woods offers splendid views of the Moy River and Estuary.,https://www.sportireland.ie/outdoors/walking/trails/belleek-multi-access,,leisure & recreation,Mayo,Trail,421,Yes,Walking,Linear,Multi-Access,Very Easy,Walking Trail,1.7,1 hour 10 minutes,Belleek Wood,On a lead,Yes,,No,Coillte West,https://www.coillte.ie/media/2017/01/Mayo-Belleek.pdf|Link to downloadable map^ https://www.coillte.ie/site/belleek/|Link to website with further information,Ballina,Ballina,Car park at Belleek Woods entrance,Car park at Belleek Woods entrance,Red arrow,"In Ballina: All services
At trailhead: Car park",G 251 205,G 251 205,,Discovery Series Sheet 24,"Train
Bus Eireann bus
GoBus bus",,Sport Ireland,d627835b-efdd-40a6-a143-b73011447459,Start,-9.142848,54.130122
63282,56aa737d-e6ae-4e5e-b29a-6cbcc36278e7,Belleek - Multi Access,54.130122,-9.142848,Walking,This linear multi access trail on forest road and track in the diverse broadleaf/conifer and mixed woodlands of Belleek Woods offers splendid views of the Moy River and Estuary.,https://www.sportireland.ie/outdoors/walking/trails/belleek-multi-access,,leisure & recreation,Mayo,Trail,421,Yes,Walking,Linear,Multi-Access,Very Easy,Walking Trail,1.7,1 hour 10 minutes,Belleek Wood,On a lead,Yes,,No,Coillte West,https://www.coillte.ie/media/2017/01/Mayo-Belleek.pdf|Link to downloadable map^ https://www.coillte.ie/site/belleek/|Link to website with further information,Ballina,Ballina,Car park at Belleek Woods entrance,Car park at Belleek Woods entrance,Red arrow,"In Ballina: All services
At trailhead: Car park",G 251 205,G 251 205,,Discovery Series Sheet 24,"Train
Bus Eireann bus
GoBus bus",,Sport Ireland,625c9dd0-b6fa-4728-b7cc-b6e7c6eb412f,Finish,-9.142848,54.130122
63283,fb7c2576-95ae-4f87-b5db-b8871ebec3f0,Derryvunny - Greenwood Trail,54.026608,-8.270101,Walking,This loop follows forest road and track through a forest diverse in both age and species on the northern edge of Lough Key within the Corrigeenroe Marsh. A viewing area on the furze dominated hill overlooks the local landscape and Lough Key in the distance.,https://www.sportireland.ie/outdoors/walking/trails/derryvunny-greenwood-trail,,leisure & recreation,Roscommon,Trail,422,Yes,Walking,Loop,Easy,Easy,Walking Trail,0.6,40 mins,Derryvunny Wood,Under effective control,Yes,5,No,Coillte North and East,https://www.coillte.ie/media/2017/01/Roscommon-Derryvunny.pdf |Link to downloadable map^ https://www.coillte.ie/site/derryvunny/ |Link to website with further information,Corrigeenroe,Corrigeenroe,Derryvunny Woods entrance car park,Derryvunny Woods entrance car park,Red arrow,Car park,,,,Discovery Series Sheet 33,,,Sport Ireland,69987471-b08d-4d65-91f9-65a8d11906af,Start,-8.270101,54.026608
63284,4bb55df3-b3cc-4b77-82ff-5fcf1861db03,Derryvunny - Multi Access Trail,54.026608,-8.270101,Walking,This short multi access trail on forest road and track within Corrigeenroe Marsh on the northen edge of Lough Key takes you from the car park to a newly constructed water feature which it is hoped frogs will use over time and water loving plants will colonise. There is also a newly planted are of native oak.,https://www.sportireland.ie/outdoors/walking/trails/derryvunny-multi-access-trail,,leisure & recreation,Roscommon,Trail,423,Yes,Walking,Linear,Multi-Access,Very Easy,Walking Trail,0.5,60 mins,Derryvunny Wood,Under effective control,Yes,,No,Coillte North and East,https://www.coillte.ie/media/2017/01/Roscommon-Derryvunny.pdf |Link to downloadable map^ https://www.coillte.ie/site/derryvunny/ |Link to website with further information,Corrigeenroe,Corrigeenroe,Derryvunny Woods entrance car park,Derryvunny Woods entrance car park,Purple arrow,Car park,,,,Discovery Series Sheet 33,,,Sport Ireland,37af62a4-71ab-4e7a-98a7-6d771c2f9c55,Start,-8.270101,54.026608
63285,28fef25f-32a5-4ab2-93ce-eef245974598,Derryvunny - Multi Access Trail,54.026608,-8.270101,Walking,This short multi access trail on forest road and track within Corrigeenroe Marsh on the northen edge of Lough Key takes you from the car park to a newly constructed water feature which it is hoped frogs will use over time and water loving plants will colonise. There is also a newly planted are of native oak.,https://www.sportireland.ie/outdoors/walking/trails/derryvunny-multi-access-trail,,leisure & recreation,Roscommon,Trail,423,Yes,Walking,Linear,Multi-Access,Very Easy,Walking Trail,0.5,60 mins,Derryvunny Wood,Under effective control,Yes,,No,Coillte North and East,https://www.coillte.ie/media/2017/01/Roscommon-Derryvunny.pdf |Link to downloadable map^ https://www.coillte.ie/site/derryvunny/ |Link to website with further information,Corrigeenroe,Corrigeenroe,Derryvunny Woods entrance car park,Derryvunny Woods entrance car park,Purple arrow,Car park,,,,Discovery Series Sheet 33,,,Sport Ireland,b08e280f-6c68-4f77-997a-c71fc924a151,Finish,-8.270101,54.026608
63286,39fa98eb-3aac-46f7-ba39-1e257864eda4,Littlewood - Forest Walk,53.721819,-6.524069,Walking,This short level walk around the edge of the forest starts at the car park and follows forest track and path through mixed conifer and broadleaf woodland. Display boards highlight the diversity of the flora and fauna that can be seen.,https://www.sportireland.ie/outdoors/walking/trails/littlewood-forest-walk,,leisure & recreation,Meath,Trail,426,Yes,Walking,Loop,Easy,Easy,Walking Trail,2,40 mins,Littlewood Forest,Under effective control,Yes,,No,Coillte North and East,https://www.coillte.ie/media/2017/01/Meath-Littlewood.pdf |Link to downloadable map^ https://www.coillte.ie/site/littlewood/ |Link to website with further information,Slane,,Forest Entrance Carpark,Forest Entrance Carpark,,Car park,,,,Discovery Series Sheet 43,,,Sport Ireland,aafc55ef-48cb-48a1-bd03-023b3a5037e0,Start,-6.524069,53.721819
63287,0da914de-6d88-445f-b3b9-639812587bba,Coolmelagh - Prospect Loop,52.68635,-6.58018,Walking,"This trail is one of three looped walks that climb up along Coillte forest tracks in the area. It continues on the Gibbet Hill trail where there are beath-taking views of Wexford, Wicklow & Carlow.",https://www.sportireland.ie/outdoors/walking/trails/coolmelagh-prospect-loop,,leisure & recreation,Wexford,Trail,427,Yes,Walking,Loop,Moderate,Moderate,Walking Trail,5.4,1 hour 30 minutes,Coolmelagh Wood,On a lead,Yes,140,No,Bunclody Loafers,,Bunclody,Bunclody,Car Park at Coolmelagh Trail Head sign 6km R746 Road,Car Park at Coolmelagh Trail Head sign 6km R746 Road,Blue arrow on white background,Car park,S 96049 60381,S 96049 60381,,Discovery Series Sheets 62 and 68,,,Sport Ireland,5a93fbba-6e9b-48e1-90c5-64f197d65e11,Start,-6.58018,52.68635
63288,36fa86f1-f7ae-4d67-afd7-cdf4b47d1de1,Coolmelagh - Gibbet Hill Loop,52.68635,-6.58018,Walking,"This trail is a looped walk that climbs up along forest tracks up to the top of Gibbet Hill. The name comes from an old English word which translates into ‘Hanging Hill’ which hints of a place of execution. There are breath-taking views of Wexford, Wicklow & Carlow. The Marion statute which was constructed in 1954 is on the site of ‘Hanging Hill’. There are also wind turbines which provide energy to the national grid.",https://www.sportireland.ie/outdoors/walking/trails/coolmelagh-gibbet-hill-loop,,leisure & recreation,Wexford,Trail,428,Yes,Walking,Loop,Moderate,Moderate,Walking Trail,10,2 hours,Coolmelagh Wood,On a lead,Yes,210,No,Bunclody Loafers,,Bunclody,Bunclody,Car Park at Coolmelagh Trail Head sign 6km R746 Road,Car Park at Coolmelagh Trail Head sign 6km R746 Road,Orange arrow on white background,Car park,S 96049 60381,S 96049 60381,,Discovery Series Sheets 62 and 68,,,Sport Ireland,ac557e5f-f0a1-43be-9f9f-f86e807e4da9,Start,-6.58018,52.68635
63289,195ecb00-bffd-454b-a82e-0754d03a9895,Coolmelagh - Coolmelagh Loop,52.68635,-6.58018,Walking,"This trail is a looped walk on Coillte Woodland and forest tracks with breath-taking views of Wexford, Wicklow & Carlow.",https://www.sportireland.ie/outdoors/walking/trails/coolmelagh-coolmelagh-loop,,leisure & recreation,Wexford,Trail,429,Yes,Walking,Loop,Moderate,Moderate,Walking Trail,13.3,3 hours,Coolmelagh Wood,On a lead,Yes,280,No,Bunclody Loafers,https://wexfordwalkingtrail.ie/bunclody-coolmelagh,Bunclody,Bunclody,Car Park at Coolmelagh Trail Head sign 6km R746 Road,Car Park at Coolmelagh Trail Head sign 6km R746 Road,Red arrow on white background,Car park,S 96049 60381,S 96049 60381,,Discovery Series Sheets 62 and 68,,,Sport Ireland,0c3be11b-30d0-400f-80ae-05225a4eb82f,Start,-6.58018,52.68635
